"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.08.2024","2.501,60","2.515,95","2.517,10","2.498,25","","-0,10%"
"12.08.2024","2.504,00","2.466,75","2.516,10","2.462,65","171,20K","1,24%"
"09.08.2024","2.473,40","2.467,30","2.476,50","2.456,10","152,17K","0,41%"
"08.08.2024","2.463,30","2.422,80","2.467,90","2.420,20","178,51K","1,27%"
"07.08.2024","2.432,40","2.432,60","2.447,30","2.418,80","166,08K","0,03%"
"06.08.2024","2.431,60","2.451,70","2.459,50","2.421,80","186,11K","-0,52%"
"05.08.2024","2.444,40","2.490,30","2.500,80","2.403,80","352,23K","-1,03%"
"02.08.2024","2.469,80","2.490,80","2.522,50","2.453,10","309,94K","-0,44%"
"01.08.2024","2.480,80","2.493,40","2.506,60","2.474,00","219,83K","0,32%"
"31.07.2024","2.473,00","2.455,60","2.496,60","2.449,20","176,27K","0,86%"
"30.07.2024","2.451,90","2.429,00","2.458,30","2.421,50","172,97K","2,09%"
"29.07.2024","2.401,80","2.410,10","2.425,30","2.391,60","26,11K","-0,11%"
"26.07.2024","2.404,50","2.386,50","2.413,30","2.378,00","14,23K","1,17%"
"25.07.2024","2.376,60","2.420,50","2.423,80","2.375,10","28,16K","-2,58%"
"24.07.2024","2.439,60","2.432,60","2.456,70","2.420,90","13,60K","0,35%"
"23.07.2024","2.431,00","2.421,80","2.437,10","2.413,30","12,13K","0,52%"
"22.07.2024","2.418,40","2.427,50","2.438,10","2.409,00","8,82K","-0,19%"
"19.07.2024","2.423,00","2.470,40","2.471,60","2.419,60","14,44K","-2,33%"
"18.07.2024","2.480,80","2.487,00","2.502,60","2.467,30","7,85K","-0,14%"
"17.07.2024","2.484,30","2.497,20","2.512,80","2.480,20","12,31K","-0,31%"
"16.07.2024","2.492,00","2.452,40","2.498,20","2.448,70","12,75K","1,59%"
"15.07.2024","2.452,90","2.444,20","2.468,80","2.430,00","6,43K","0,34%"
"12.07.2024","2.444,50","2.444,80","2.446,80","2.420,00","7,07K","-0,04%"
"11.07.2024","2.445,60","2.401,20","2.453,80","2.400,90","9,84K","1,76%"
"10.07.2024","2.403,20","2.393,90","2.416,70","2.393,30","5,84K","1,49%"
"09.07.2024","2.367,90","2.366,50","2.378,30","2.356,00","252,49K","0,19%"
"08.07.2024","2.363,50","2.396,20","2.399,30","2.358,30","240,78K","-1,43%"
"05.07.2024","2.397,70","2.365,80","2.401,50","2.356,00","293,25K","1,40%"
"04.07.2024","2.364,60","2.367,20","2.371,05","2.359,35","","-0,20%"
"03.07.2024","2.369,40","2.338,60","2.374,50","2.335,70","193,64K","1,54%"
"02.07.2024","2.333,40","2.341,60","2.346,10","2.327,40","153,71K","-0,24%"
"01.07.2024","2.338,90","2.336,20","2.348,80","2.328,20","142,60K","-0,03%"
"28.06.2024","2.339,60","2.338,60","2.350,60","2.329,70","135,38K","0,13%"
"27.06.2024","2.336,60","2.309,40","2.342,00","2.306,80","140,23K","1,55%"
"26.06.2024","2.301,00","2.318,80","2.320,50","2.292,90","0,99K","-0,75%"
"25.06.2024","2.318,40","2.334,40","2.336,20","2.314,80","1,26K","-0,60%"
"24.06.2024","2.332,40","2.322,10","2.334,70","2.318,00","0,60K","0,05%"
"21.06.2024","2.331,20","2.373,80","2.382,60","2.329,20","194,82K","-1,60%"
"20.06.2024","2.369,00","2.344,20","2.379,50","2.338,50","252,69K","1,11%"
"19.06.2024","2.343,00","2.342,95","2.349,65","2.338,60","","-0,17%"
"18.06.2024","2.346,90","2.333,70","2.348,20","2.320,20","154,25K","0,77%"
"17.06.2024","2.329,00","2.348,50","2.348,70","2.324,30","122,70K","-0,86%"
"14.06.2024","2.349,10","2.319,60","2.352,30","2.316,70","163,37K","1,34%"
"13.06.2024","2.318,00","2.340,90","2.342,40","2.310,90","182,66K","-1,56%"
"12.06.2024","2.354,80","2.334,00","2.358,80","2.327,20","241,67K","1,21%"
"11.06.2024","2.326,60","2.329,50","2.337,30","2.314,50","145,50K","-0,02%"
"10.06.2024","2.327,00","2.311,00","2.331,30","2.304,50","142,89K","0,09%"
"07.06.2024","2.325,00","2.395,70","2.406,70","2.304,20","314,55K","-2,76%"
"06.06.2024","2.390,90","2.375,30","2.397,80","2.372,20","172,20K","0,65%"
"05.06.2024","2.375,50","2.347,10","2.377,60","2.345,30","171,86K","1,20%"
"04.06.2024","2.347,40","2.371,30","2.373,10","2.335,10","171,55K","-0,92%"
"03.06.2024","2.369,30","2.348,00","2.375,50","2.334,80","173,15K","1,00%"
"31.05.2024","2.345,80","2.364,50","2.381,20","2.341,10","183,41K","-0,87%"
"30.05.2024","2.366,50","2.361,00","2.373,70","2.343,30","188,89K","0,62%"
"29.05.2024","2.352,00","2.372,90","2.373,50","2.346,00","119,32K","-0,65%"
"28.05.2024","2.367,30","2.348,70","2.375,20","2.347,70","316,22K","0,46%"
"27.05.2024","2.356,50","2.338,00","2.365,50","2.333,80","105,47K","0,47%"
"24.05.2024","2.345,40","2.341,50","2.357,10","2.339,10","178,34K","-0,12%"
"23.05.2024","2.348,20","2.393,20","2.395,30","2.340,00","273,66K","-2,31%"
"22.05.2024","2.403,70","2.436,30","2.440,00","2.392,10","253,85K","-1,36%"
"21.05.2024","2.436,90","2.442,30","2.448,40","2.420,20","229,42K","-0,51%"
"20.05.2024","2.449,50","2.438,60","2.464,50","2.425,60","281,43K","0,86%"
"17.05.2024","2.428,60","2.392,80","2.433,60","2.389,20","218,55K","1,34%"
"16.05.2024","2.396,40","2.401,00","2.413,10","2.387,00","191,03K","-0,39%"
"15.05.2024","2.405,80","2.372,20","2.406,30","2.370,90","249,84K","1,48%"
