Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2162619200.0,3621958000.0,3204753000.0,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1269352235067.64,1482949612650.41,1677609783949.53,
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,484796854.918756,469228219.665791,3478231165177.1567,
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,3489923527067.67,4062850047299.39,4390347563465.91,
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1715842671714.99,1931458241338.34,2060531397309.08,
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,20807571314.3043,24496505940.6673,30053575132.142,
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,42538289933.2162,46687293140.3377,46303552449.3542,
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,720338498174.744,819865253669.661,907118435952.688,
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,51746594.3148543,60196405.7138393,59065979.0227679,
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,66068737786.0639,70655628147.8986,75732311666.039,
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,37605430214.3519,40510241365.8914,45567304608.4764,
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,156617722013.342,199765859570.935,160502737251.047,
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,23959410661464.3,28515803406297.6,30110929970107.6,
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,53666908053.7655,61412268248.9461,71177146197.4951,
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,21060473613000.0,23315080560000.0,25439700000000.0,
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,60224701296.7885,69600614987.3509,80391853887.4049,
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,869111111.111111,872222222.222222,948559259.259259,
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,4189000000.0,4444000000.0,3478231165177.1567,
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,346615738537.796,366137569122.215,408802378904.838,
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,909421043.508407,971636097.850666,1055811723.74753,
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,85272676295873.9,97153181162291.0,100879560825391.0,
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,868898358.266437,843923638.733018,832945205.637185,
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,7717145217.81247,9412034299.23122,9409473517.95304,
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,338291396025.956,420117812463.841,405270850099.387,
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,18110638269.2238,22096416933.7902,29163782138.3415,
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,21509698406.6618,28371238665.8646,27366627153.0852,
