Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3887727161914.41,4278503934689.85,4082469490797.68,
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,3185150981.03207,3385825228.86997,3515108859.95465,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,504214814.814815,555266666.666667,607440740.740741,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,354762748338.661,405687998852.691,400167196948.707,
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,78844656298.1776,94243425938.3647,113537368176.13,
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,145743542982.628,163472387986.768,194998449769.085,
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,17487617929386.2,20839170495754.4,21193771562304.2,
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,10941489484842.7,12716982787439.0,14148420366435.9,
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,27155249687649.4,31141271720840.7,30712490177155.8,
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,2991607694833.72,3580124604033.79,4129330109662.66,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,22156584402676.9,25324876871395.7,25344209837077.1,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,99291124000.0,106165866000.0,115049476000.0,
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,383817841547.099,424671765455.704,476747720364.742,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,13154981793981.9,14754736438720.2,14207593902747.6,
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1278128867875.49,1445651653604.63,1417800466262.65,
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,31370395572.7658,37191166151.98,38100812958.5196,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,107657734392.446,111261882958.426,126783471597.671,
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,15381174426002.4,17315218527836.1,16746544871112.0,
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1666563897610.01,1782595197342.36,1906134056808.84,
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,271886077382.102,296470417085.267,282649838009.729,
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4432466237.09588,4305031630.81808,4979979546.0123,
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2647418691598.45,2959355819170.5,2779092236505.85,
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,3262045883.37293,3655063937.93145,3555929833.05051,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,408000000.0,406000000.0,424000000.0,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,15314577154.8076,20217946922.4528,21071739224.8918,
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2697806592293.86,3141506156618.7,3089072722400.14,
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,15842922532.7202,18629365612.096,24780791063.7131,
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,70043095503.6675,79524421861.2743,73766052451.5256,
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,14177835841.3923,16091817842.1318,20999229260.4955,
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1812170891.19069,2038414968.60683,2187194563.48605,
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1431758231.68522,1638517606.89496,1633559092.08861,
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,9893816016.147,12104994084.4108,12029633746.519,
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,188480337285.605,214667807441.202,217581324512.059,
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1043411111.11111,1122800000.0,1215379155.67282,
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,3082884653.2456,3235809504.29871,3478231165177.1567,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,77715183063.2054,86053083476.0294,95003330315.8754,
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,5886000000.0,6123000000.0,3478231165177.1567,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,5471256594.72422,8041362110.31175,14718388489.2086,
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,53962245346670.1,60245547578675.3,61729512123777.9,
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,344943149590.058,368911387845.418,359838583490.063,
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,23827859226.8834,28488721680.8502,31717699764.3621,
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,811638956819.199,901695869344.623,980688371242.572,
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,57760024673.9359,69081236641.2469,71600049650.195,
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,14508222518.3018,20877414952.6375,20253551884.6055,
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,157227094449.074,182090041757.269,177337436677.365,
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,30066587396556.6,35660094024046.0,37752366428370.0,
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,32484256023838.5,38289419290322.9,40573962163610.3,
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,2416944259567.14,2630708113514.59,2822821779328.87,
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1003544540837.38,1097399972030.71,1175091814528.12,
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1059054842698.48,1186505455736.54,1319100220407.72,
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1413399718729.76,1533308141483.89,1647744371553.08,
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,6684229268.50545,3169870939951.8335,3478231165177.1567,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2671595405986.86,3150306839142.13,3416645826052.87,
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,428608687830.239,513391778882.86,533140011838.276,
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,239735486745.704,359096907772.985,413493207349.265,
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,180924091442.953,207691599310.345,264182173793.103,
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,21565767851.144,25595940169.5879,28064529851.3098,
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,413267669231.522,488526545878.891,525002447652.773,
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1897461635591.91,2155360298998.03,2049737165407.98,
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,13812421803.4084,14657586127.0331,17097760723.9201,
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,43700383098.5916,46296100140.8451,48653381780.6397,
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5055587093501.59,5034620784584.98,4256410760723.75,
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,171082365861.423,197112255360.612,225496328925.494,
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,100657505750.545,109703658904.994,113420008178.793,
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,8270468614.24051,9249133946.26531,11543966558.842,
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,25872797891.7664,26961061151.7337,29504829319.3169,
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,177553274.584763,227610079.145208,223353014.294593,
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,883933333.333333,858592592.592592,965638864.921867,
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1644312831906.17,1818432106880.04,1673916469026.56,
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,105948807280.731,137384258875.558,175363265306.122,
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,4051085288658.45,4665360652347.6,5352536850675.35,
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,18981800705.0794,18827148528.9934,15468785203.7532,
